item,captured_images_n,registered_images_n,registration_percent,evaluated_views_n,model_splats_n,model_size_mib,foreground_psnr_db_mean,foreground_psnr_db_std,foreground_ssim_mean,foreground_ssim_std,full_psnr_db_mean,full_ssim_mean,metric_pass_minutes,original_training_minutes
Matka,54,46,85.18518518518519,8,6944,1.5642728805541992,14.01913377779534,5.964457402373496,0.5044143474067252,0.18382515435036587,8.254982167271006,0.679819692577984,0.07284467568339702,unavailable
Bangles 1,93,93,100.0,8,10868,2.447437286376953,12.341311418624247,0.577379137921523,0.14204176430079213,0.019270307582940068,6.330139378610916,0.4659065187561834,0.08687450486662177,unavailable
Bangles 2,105,105,100.0,8,2527,0.5701513290405273,11.352115954139302,1.7674070277865022,0.3025252447385995,0.1394294736125881,5.931768666632928,0.3077604644876468,0.04759694096671107,unavailable
Outfit,140,72,51.42857142857143,8,91188,20.524829864501953,15.100978170783264,2.3857768886826314,0.1561343953791976,0.11141230457376614,6.790458220065581,0.35226773829864233,0.40871697430023535,unavailable
